contribution,story,title,range,doctor,airdate,runtime,resume,cast,crew,quotes,Physical Retail ISBN,Digital Retail ISBN,Production Code,cover,trailer,url
korgana,01,Torchwood: The Conspiracy,Torchwood - Monthly Range,,2015-9,73,"{'en': ""Captain Jack Harkness has always had his suspicions about the Committee. And now Wilson is also talking about the Committee. Apparently the world really is under the control of alien lizards. That's what Wilson says. People have died, disasters have been staged, the suspicious have disappeared.\nIt's outrageous.\nOnly Jack knows that Wilson is right. The Committee has arrived.\n**This title will be going out of print on CD when current stocks have been sold**"", 'pt': ''}","[{'actor': 'John Barrowman', 'role': 'Captain Jack Harkness'}, {'actor': 'John Sessions', 'role': 'George Wilson'}, {'actor': 'Guy Adams', 'role': 'Presenter'}, {'actor': 'Dan Bottomley', 'role': 'Sam Hallett'}, {'actor': 'Sarah Ovens', 'role': 'Kate Wilson'}]","[{'role': 'Cover Art by', 'person': 'Lee Binding'}, {'role': 'Director', 'person': 'Scott Handcock'}, {'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Script Editor', 'person': 'Steve Tribe'}, {'role': 'Sound Design by', 'person': 'Neil Gardner'}, {'role': 'Written by', 'person': 'David Llewellyn'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-78178-916-2,978-1-78178-917-9,BFPTWCD01,https://www.bigfinish.com/image/release/1294/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-the-conspiracy-1294
korgana,09,Torchwood: Ghost Mission,Torchwood - Monthly Range,,2016-5,65,"{'en': ""Sergeant Andy Davidson has always wanted to join Torchwood. And now he finally gets his chance.\nUnder the strict observation of his Torchwood Assessor, Andy sets out to prove he's got what it takes. When a chemical spill turns out to have serious consequences, when monsters roam the Bay, and when an ancient entity awakes, Andy decides he could do with a helping hand. The problem is his Torchwood Assessor doesn't have any hands. Norton Folgate is a ghost.\n**This title will be going out of print on CD when current stocks have been sold**"", 'pt': ''}","[{'actor': 'Tom Price', 'role': 'Andy Davidson'}, {'actor': 'Samuel Barnett', 'role': 'Norton Folgate'}, {'actor': 'Lisa Bowerman', 'role': 'Quite Anxious Shopper'}, {'actor': 'Laura Doddington', 'role': 'The Graces'}, {'actor': 'Aaron Neil', 'role': 'The Graces'}, {'actor': 'David Warner', 'role': 'OAP'}]","[{'role': 'Cover Art by', 'person': 'Lee Binding'}, {'role': 'Director', 'person': 'Scott Handcock'}, {'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Script Editor', 'person': 'Steve Tribe'}, {'role': 'Sound Design by', 'person': 'Steve Foxon'}, {'role': 'Written by', 'person': 'James Goss'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-78575-211-7,978-1-78575-212-4,BFPTWCD09,https://www.bigfinish.com/image/release/1391/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-ghost-mission-1391
korgana,04,Torchwood: One Rule,Torchwood - Monthly Range,,2015-12,62,"{'en': ""It's been three weeks since the Mayor of Cardiff was killed by a shop dummy and the fight is on to see who will replace him.\nYvonne Hartman is visiting the city to retrieve an invaluable alien device. She's in charge of Torchwood One, she's saving the British Empire and she doesn't care about local politics. But she is going to find herself caught up in that fight. There's a bloodthirsty alien stalking the streets and there's a special offer on at the all-you-can-eat Chinese buffet.\nIt's the 26th of March 2005 and it's the day that everything changes.\n**This title will be going out of print on CD when current stocks have been sold**"", 'pt': ''}","[{'actor': 'Tracy-Ann Oberman', 'role': 'Yvonne Hartman'}, {'actor': 'Gareth Armstrong', 'role': 'Barry Jackson'}, {'actor': 'Rebecca Lacey', 'role': 'Helen Evans'}, {'actor': 'Dan Starkey', 'role': 'Ross Bevan'}, {'actor': 'Caitlin Stewart', 'role': 'Meredith Bevan'}]","[{'role': 'Cover Art by', 'person': 'Lee Binding'}, {'role': 'Director', 'person': 'Barnaby Edwards'}, {'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Script Editor', 'person': 'Steve Tribe'}, {'role': 'Sound Design by', 'person': 'Neil Gardner'}, {'role': 'Written by', 'person': 'Joseph Lidster'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-78178-922-3,978-1-78178-923-0,BFPTWCD04,https://www.bigfinish.com/image/release/1297/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-one-rule-1297
korgana,03,Torchwood: Forgotten Lives,Torchwood - Monthly Range,,2015-11,67,"{'en': ""It has been four years since the Miracle, and Gwen and Rhys's lives\xa0have gone back to normal, very normal. They're raising their daughter\xa0(they've got pictures they'd be only too happy to show you), they're\xa0living in a nice house, and they're almost on top of the laundry.\nCaptain Jack Harkness has been missing from the world and their lives\xa0for a long time. But late one night the phone rings, and they're\xa0summoned to an isolated part of North Wales. The Bryn Offa Nursing\xa0Home contains a dark secret, an alien threat, and someone who really\xa0shouldn't be there.\nGwen and Rhys are about to discover that Torchwood stays with you for\xa0the rest of your life.\n**This title will be going out of print on CD when current stocks have been sold**"", 'pt': ''}","[{'actor': 'Eve Myles', 'role': 'Gwen Cooper'}, {'actor': 'Kai Owen', 'role': 'Rhys Williams'}, {'actor': 'Philip Bond', 'role': 'Mr Griffin'}, {'actor': 'Seán Carlsen', 'role': 'Gary'}, {'actor': 'Valmai Jones', 'role': 'Eluned'}]","[{'role': 'Cover Art by', 'person': 'Lee Binding'}, {'role': 'Director', 'person': 'Scott Handcock'}, {'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Script Editor', 'person': 'Steve Tribe'}, {'role': 'Sound Design by', 'person': 'Neil Gardner'}, {'role': 'Written by', 'person': 'Emma Reeves'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-78178-920-9,978-1-78178-921-6,BFPTWCD03,https://www.bigfinish.com/image/release/1296/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-forgotten-lives-1296
korgana,08,Torchwood: Zone 10,Torchwood - Monthly Range,,2016-4,64,"{'en': ""They call it 'Pulse' - a radio signal which has puzzled the world for 40 years. But now Toshiko Sato has solved it.\nShe's uncovered a message which leads her to Russia, and into an uneasy alliance with the KVI - the Russian equivalent of Torchwood. Toshiko needs to get into Zone 10 - a frozen wasteland which officially doesn't exist.\nAn intergalactic war was once fought in Zone 10. And it turns out there's a survivor.\n**This title will be going out of print on CD when current stocks have been sold**"", 'pt': ''}","[{'actor': 'Naoko Mori', 'role': 'Toshiko Sato'}, {'actor': 'Geoffrey Breton', 'role': 'FSB Agent'}, {'actor': 'Ella Garland', 'role': 'Anna Volkova'}, {'actor': 'Krystian Godlewski', 'role': 'Maxim Ivanov'}]","[{'role': 'Cover Art by', 'person': 'Lee Binding'}, {'role': 'Director', 'person': 'Scott Handcock'}, {'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Script Editor', 'person': 'Steve Tribe'}, {'role': 'Sound Design by', 'person': 'Steve Foxon'}, {'role': 'Written by', 'person': 'David Llewellyn'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-78575-209-4,978-1-78575-210-0,BFPTWCD08,https://www.bigfinish.com/image/release/1390/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-zone-10-1390
korgana,83,Torchwood 83 TBA,Torchwood - Monthly Range,,2024-5,60,"{'en': 'Story details to be announced.', 'pt': ''}",,"[{'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-80240-038-0,978-1-80240-039-7,BFPTWCD83,https://www.bigfinish.com/image/release/2755/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-83-tba-2755
korgana,02,Torchwood: Fall To Earth,Torchwood - Monthly Range,,2015-10,66,"{'en': ""The SkyPuncher is the first private spaceflight.\xa0But Ephraim Salt's\xa0visionary project has gone horribly wrong - the ship is falling out of\xa0the sky and there seems no way to stop it. Ianto Jones thought the\xa0flight would be sabotaged.\nThe only problem is... he's on board.\n**This title will be going out of print on CD when current stocks have been sold**"", 'pt': ''}","[{'actor': 'Gareth David-Lloyd', 'role': 'Ianto Jones'}, {'actor': 'Lisa Zahra', 'role': 'Zeynep'}]","[{'role': 'Cover Art by', 'person': 'Lee Binding'}, {'role': 'Director', 'person': 'Scott Handcock'}, {'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Script Editor', 'person': 'Steve Tribe'}, {'role': 'Sound Design by', 'person': 'Neil Gardner'}, {'role': 'Written by', 'person': 'James Goss'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-78178-918-6,978-1-78178-919-3,BFPTWCD02,https://www.bigfinish.com/image/release/1295/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-fall-to-earth-1295
korgana,05,Torchwood: Uncanny Valley,Torchwood - Monthly Range,,2016-1,69,"{'en': ""What has made billionaire Neil Redmond emerge from his long seclusion? Captain Jack knows the answer, and is prepared to go to any lengths to prove it.\nA couple of years ago, Neil Redmond was in a terrible accident. His recovery has been long and slow, but now he's back and looking better than ever. Much better than ever.\nDark forces have been behind Neil's transformation. Dark forces that Jack has been hunting for a long time. But Captain Jack's never been able to resist the darkness.\n**This title will be going out of print on CD when current stocks have been sold**"", 'pt': ''}","[{'actor': 'John Barrowman', 'role': 'Captain Jack Harkness'}, {'actor': 'Steven Cree', 'role': 'Neil Redmond'}, {'actor': 'Emma Reeves', 'role': 'Miss Trent'}]","[{'role': 'Cover Art by', 'person': 'Lee Binding'}, {'role': 'Director', 'person': 'Neil Gardner'}, {'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Script Editor', 'person': 'Steve Tribe'}, {'role': 'Sound Design by', 'person': 'Neil Gardner'}, {'role': 'Written by', 'person': 'David Llewellyn'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-78178-924-7,978-1-78178-925-4,BFPTWCD05,https://www.bigfinish.com/image/release/1298/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-uncanny-valley-1298
korgana,80,Torchwood 80 TBA,Torchwood - Monthly Range,,2024-2,60,"{'en': 'Story details to be announced.', 'pt': ''}",,"[{'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-80240-032-8,978-1-80240-033-5,BFPTWCD80,https://www.bigfinish.com/image/release/2752/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-80-tba-2752
korgana,79,Torchwood 79 TBA,Torchwood - Monthly Range,,2024-1,60,"{'en': 'Story details to be announced.', 'pt': ''}",,"[{'role': 'Executive Producer', 'person': 'Jason Haigh-Ellery'}, {'role': 'Executive Producer', 'person': 'Nicholas Briggs'}, {'role': 'Music by', 'person': 'Blair Mowat'}, {'role': 'Producer', 'person': 'James Goss'}, {'role': 'Theme Music by', 'person': 'Murray Gold'}]","[{'en': '', 'pt': ''}]",978-1-80240-030-4,978-1-80240-031-1,BFPTWCD79,https://www.bigfinish.com/image/release/2751/large.jpg,,https://www.bigfinish.com/releases/v/torchwood-79-tba-2751
